Aabye	奥比
Aadahi	阿达希
Aagaard	埃格德
Aaker	阿克
Aaliyah	阿莉娅
Aall	奥尔
Aalseth	阿尔塞思
Aalto	阿尔托
Aamodt	阿莫特
Aandahl	安达尔
Aaneson	阿尼森
Aaronian	阿罗尼安
Aaron	阿龙
Aarons	阿伦斯
Aaronson	阿伦森
Aars	阿尔斯
Aarsleff	阿尔斯莱夫
Aarvold	阿沃尔德
Aasen	奥森
Aawick	阿威克
Ab	阿布
Abadi	阿巴迪
Abady	阿巴迪
Abagail	阿比盖尔
Abarbanel	阿巴伯内尔
Abare	阿贝尔
Abastenia	阿巴斯蒂尼亚
Abate	阿巴特
Abayomi	阿巴约米
Abbadessa	阿巴德萨
Abbado	阿巴多
Abbate	阿巴特
Abbe	阿贝
Abbel	阿贝尔
Abbelina	阿贝利娜
Abbell	阿贝尔
Abbels	阿贝尔斯
Abben	阿本
Abbenhaus	阿本豪斯
Abberley	阿伯利
Abbett	阿贝特
Abbey	阿比
Abbiati	阿比亚蒂
Abbie	阿比
Abbigail	阿比盖尔
Abbink	阿宾克
Abbiss	阿比斯
Abbitt	阿比特
Abbot	阿博特
Abbotson	阿博森
Abbott	阿博特
Abboud	阿布德
Abbs	阿布兹
Abbuhl	阿布尔
Abby	阿比
Abdalian	阿布达利安
Abdian	阿布迪恩
Abdiel	阿布迪尔
Abdnor	阿布德诺
Abdy	阿布迪
Abe	阿贝
Abeel	阿比尔
Abegg	阿贝格
Abegglen	阿贝格伦
Abel	埃布尔
Abelard	阿贝拉德
Abele	埃伯利
Abeles	埃伯利斯
Abell	埃布尔
Abello	阿贝洛
Abeloff	阿贝洛夫
Abelot	阿贝洛特
Abelow	阿比洛
Abels	埃布尔斯
Abelson	埃布尔森
Abend	阿本德
Abendroth	阿本德罗思
Aberconway	阿伯康韦
Abercorn	阿伯康
Abercrombie	阿伯克龙比
Abercromby	阿伯克龙比
Aberdare	阿贝代尔
Aberdeen	阿伯丁
Aberdonian	阿伯多尼安
Aberdour	阿伯道尔
Abere	阿贝雷
Abergavenny	阿伯加文尼
Aberhart	埃伯哈特
Aberle	阿伯利
Abern	阿本
Abernathy	阿伯内西
Abernethy	阿伯内西
Abersfeller	阿伯斯费勒
Abert	艾伯特
Abiathar	阿拜亚撒
Abiel	埃比尔
Abigail	阿比盖尔
Abigale	阿比盖尔
Abigayle	阿比盖尔
Abijah	阿拜贾
Abildskov	阿比尔兹科夫
Abingdon	阿宾登
Abinger	阿宾杰
Abington	阿宾顿
Abish	阿比什
Abizaid	阿比扎伊德
Abjai	阿布杰伊
Abkowitz	阿布科维茨
Ablard	阿布拉德
Able	埃布尔
Abler	埃布勒
Ables	埃布尔斯
Ablet	阿布利特
Ablett	阿布利特
Ablewhite	埃布贝怀特
Ablin	埃布林
Ablom	阿布隆
Ablondi	阿布隆迪
Abnee	阿布尼
Abner	阿布纳
Abnett	阿布尼特
Abney	阿布尼
Abnor	阿布诺
Aboff	阿博夫
Abolins	阿博林斯
Abood	阿布德
Aboody	阿布迪
Aborn	阿博恩
Aboulafia	阿布拉菲亚
Abourezk	阿布雷兹克
Aboyne	阿博因
Abplanalp	阿普拉纳尔普
Abrahall	阿布拉霍尔
Abraham	亚伯拉罕
Abrahams	亚伯拉罕斯
Abrahamsen	亚伯拉罕森
Abrahamson	阿伯拉罕森
Abram	艾布拉姆
Abram	艾布拉姆
Abramoff	阿布拉莫夫
Abramovitz	阿布拉莫维茨
Abramowicz	阿布拉莫维奇
Abramowitz	阿布拉莫维茨
Abrams	艾布拉姆斯
Abramson	艾布拉姆森
Abravanel	阿布拉瓦内尔
Abrew	阿布鲁
Abrey	阿布里
Abruzzo	阿布鲁佐
Abry	阿布里
Absalom	阿布萨隆
Abshire	阿布希尔
Absolon	阿布索隆
Abston	阿布斯顿
Abt	阿布特
Abthorpe	阿布索普
Abts	阿布茨
Abularach	阿布拉拉克
Abumrad	阿布姆拉德
Aburdene	阿伯迪恩
Abuse	阿比斯
Abut	阿布特
Aby	阿比
Abzug	阿布朱格
Acadory	阿卡多里
Accettura	阿塞图拉
Acclestone	阿克尔斯通
Accordino	阿科尔迪诺
Accorsi	阿科尔西
Ace	埃斯
Acebo	埃斯博
Acel	阿塞尔
Acelet	阿斯利特
Acelin	阿斯林
Acer	阿瑟
Acerra	阿塞拉
Achates	阿凯蒂斯
Achatz	阿卡兹
Achelis	阿基利斯
Achenbach	阿肯巴克
Achenbaum	阿肯鲍姆
Acher	阿克
Acheron	阿克龙
Acheson	艾奇逊
Achhammer	阿查默
Achibald	阿奇博尔德
Achilles	阿基利斯
Achinstein	阿钦斯坦
Achonry	阿肯里
Achor	埃科尔
Achorn	埃科恩
Achray	阿克雷
Achstetter	阿赫施泰特
Achtemeier	阿赫特迈耶
Achtenberg	阿赫滕伯格
Achter	阿赫特
Achtert	阿赫泰特
Ackeli	阿克利
Ackelmire	阿克尔迈尔
Ackeman	阿克曼
Acker	阿克
Ackerley	阿克利
Ackerly	阿克利
Ackerman	阿克曼
Ackermann	阿克曼
Ackers	阿克斯
Ackerson	阿克森
Ackert	阿克特
Ackland	阿克兰
Acklen	阿克伦
Ackley	阿克利
Acklie	阿克利
Acklin	阿克林
